Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-24;8.28;;0.00;0.0;0;63;68;58;270;270;25.1;30.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-25;13.65;;0.00;0.0;0;64;72;59;10;10;25.9;40.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-26;10.07;;0.00;0.0;0;65;71;57;240;240;25.1;33.1;;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-27;11.41;;0.00;0.0;0;62;76;56;350;360;23.9;38.0;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-28;17.67;;0.00;0.0;0;72;84;64;270;10;31.1;38.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-29;10.29;;0.00;0.0;0;72;80;61;270;270;23.0;29.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-30;7.61;;0.00;0.0;0;66;80;55;260;230;16.1;19.9;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-01;6.71;;0.00;0.0;0;65;76;55;260;260;17.0;21.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-02;6.04;;0.00;0.0;0;66;74;59;270;280;14.1;17.0;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-03;7.61;;0.00;0.0;0;66;72;60;270;250;15.0;18.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-04;8.95;;0.00;0.0;0;64;68;58;260;260;21.0;25.9;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-05;6.49;;0.00;0.0;0;60;65;57;270;280;15.0;19.0;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-06;15.21;;0.00;0.0;0;61;65;54;260;250;33.1;36.9;;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-07;7.61;;0.13;0.0;0;56;63;50;250;250;16.1;19.9;1;;1;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-08;8.95;;0.00;0.0;0;57;66;48;260;250;19.9;25.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-09;9.62;;0.00;0.0;0;61;71;55;150;160;19.9;29.1;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-10;7.38;;0.00;0.0;0;63;68;60;240;250;14.1;16.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-11;11.41;;0.00;0.0;0;62;67;58;280;260;21.0;25.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-12;8.50;;0.00;0.0;0;62;67;58;260;260;21.0;23.0;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-13;8.72;;0.00;0.0;0;62;70;56;250;260;19.9;25.9;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-14;8.50;;0.00;0.0;0;62;71;53;230;130;17.0;23.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-05-15;12.08;;0.00;0.0;0;60;65;55;260;240;19.9;25.9;;;;
