Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-08-14;13.0;19.9;16.1;16.1;17.0;19.9;13.0;25.9;21.0
2017-08-15;14.1;19.9;16.1;15.0;15.0;17.0;13.0;25.1;21.0
2017-08-16;14.1;18.1;13.0;14.1;17.0;16.1;14.1;25.1;15.0
2017-08-17;15.0;21.0;14.1;12.1;18.1;15.0;14.1;25.1;15.0
2017-08-18;14.1;19.9;13.0;12.1;18.1;17.0;14.1;25.9;16.1
2017-08-19;14.1;18.1;13.0;14.1;17.0;16.1;14.1;30.0;15.0
2017-08-20;12.1;18.1;15.0;13.0;17.0;17.0;13.0;28.0;16.1
2017-08-21;15.0;19.9;12.1;15.0;18.1;23.0;14.1;28.0;19.9
2017-08-22;15.0;18.1;14.1;10.1;21.9;15.0;16.1;21.9;15.0
2017-08-23;15.0;21.0;14.1;14.1;17.0;16.1;12.1;25.1;14.1
2017-08-24;16.1;17.0;14.1;16.1;16.1;16.1;10.1;19.9;15.0
2017-08-25;10.1;19.9;13.0;13.0;14.1;12.1;10.1;25.1;14.1
2017-08-26;16.1;17.0;13.0;13.0;17.0;13.0;15.0;23.0;14.1
2017-08-27;15.0;15.0;13.0;8.1;18.1;10.1;16.1;16.1;13.0
2017-08-28;13.0;21.0;13.0;8.9;17.0;8.9;25.1;18.1;14.1
2017-08-29;10.1;19.9;14.1;15.0;15.0;17.0;15.0;17.0;14.1
2017-08-30;12.1;18.1;15.0;14.1;15.0;14.1;12.1;25.9;15.0
2017-08-31;12.1;15.0;28.0;13.0;16.1;12.1;13.0;25.1;13.0
2017-09-01;13.0;13.0;18.1;8.9;17.0;16.1;14.1;21.9;15.0
2017-09-02;16.1;15.0;16.1;8.1;14.1;10.1;12.1;25.9;15.0
2017-09-03;18.1;16.1;17.0;25.1;18.1;13.0;17.0;25.1;21.0
2017-09-04;13.0;17.0;16.1;13.0;14.1;23.0;13.0;25.1;23.0
2017-09-05;19.9;18.1;12.1;12.1;19.9;13.0;17.0;28.0;18.1
2017-09-06;16.1;18.1;13.0;10.1;25.1;17.0;18.1;28.0;16.1
2017-09-07;12.1;18.1;14.1;19.9;25.1;17.0;16.1;25.1;18.1
2017-09-08;13.0;17.0;14.1;13.0;15.0;13.0;14.1;19.9;16.1
2017-09-09;13.0;17.0;14.1;12.1;21.0;12.1;16.1;25.1;17.0
2017-09-10;21.9;14.1;15.0;15.0;21.0;12.1;15.0;19.9;14.1
2017-09-11;14.1;19.9;16.1;8.9;21.9;18.1;15.0;21.0;31.1
2017-09-12;18.1;21.9;13.0;13.0;19.9;17.0;17.0;18.1;21.0
2017-09-13;17.0;19.9;15.0;16.1;19.9;19.9;16.1;15.0;14.1
2017-09-14;18.1;21.9;14.1;14.1;19.9;19.9;16.1;19.9;21.0
2017-09-15;17.0;18.1;13.0;13.0;16.1;12.1;15.0;16.1;18.1
2017-09-16;13.0;19.9;13.0;14.1;18.1;12.1;13.0;21.0;16.1
2017-09-17;10.1;18.1;14.1;14.1;17.0;13.0;17.0;25.1;21.0
2017-09-18;14.1;28.0;14.1;17.0;16.1;23.0;14.1;21.0;21.9
2017-09-19;10.1;18.1;10.1;15.0;16.1;13.0;14.1;23.9;18.1
2017-09-20;13.0;23.0;15.0;16.1;16.1;23.9;15.0;18.1;17.0
2017-09-21;28.0;25.9;17.0;21.0;23.0;18.1;17.0;17.0;19.9
2017-09-22;23.0;16.1;16.1;10.1;21.9;13.0;15.0;33.1;17.0
2017-09-23;13.0;21.0;14.1;10.1;17.0;23.0;14.1;23.0;21.0
2017-09-24;15.0;19.9;16.1;8.1;19.9;16.1;17.0;23.9;17.0
2017-09-25;8.9;15.0;15.0;6.9;18.1;15.0;15.0;23.9;18.1
2017-09-26;8.1;17.0;13.0;8.1;14.1;21.0;12.1;25.9;19.9
2017-09-27;14.1;15.0;14.1;10.1;18.1;8.9;14.1;31.1;15.0
2017-09-28;13.0;23.0;14.1;12.1;17.0;12.1;17.0;23.0;17.0
2017-09-29;13.0;23.0;14.1;15.0;18.1;17.0;12.1;36.0;16.1
2017-09-30;12.1;17.0;14.1;16.1;16.1;14.1;12.1;18.1;18.1
2017-10-01;10.1;19.9;13.0;17.0;16.1;31.1;15.0;28.0;19.9
2017-10-02;14.1;21.0;14.1;12.1;16.1;28.0;13.0;25.1;18.1
2017-10-03;8.9;19.9;17.0;18.1;17.0;21.0;13.0;23.0;19.9
2017-10-04;12.1;14.1;10.1;12.1;21.0;8.9;18.1;21.0;17.0
2017-10-05;12.1;15.0;12.1;13.0;15.0;14.1;14.1;17.0;19.9
2017-10-06;14.1;14.1;10.1;8.9;16.1;17.0;15.0;30.0;17.0
2017-10-07;10.1;15.0;13.0;8.9;15.0;8.9;12.1;32.0;18.1
2017-10-08;12.1;21.0;15.0;16.1;15.0;35.1;17.0;25.1;18.1
2017-10-09;16.1;30.0;13.0;10.1;14.1;25.1;14.1;31.1;15.0
2017-10-10;15.0;16.1;13.0;6.9;19.9;8.1;17.0;29.1;18.1
