Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-08-17;18.1;23.0;27.1;;23.9;18.1;17.0;32.0;19.0
2017-08-18;18.1;23.9;19.0;;27.1;21.0;19.9;31.1;19.0
2017-08-19;18.1;21.9;18.1;;21.9;25.1;18.1;35.1;19.0
2017-08-20;14.1;19.9;18.1;;23.9;21.0;17.0;32.0;21.0
2017-08-21;17.0;23.9;17.0;;21.9;28.0;18.1;32.0;21.9
2017-08-22;19.0;19.9;27.1;;25.9;17.0;23.9;27.1;19.0
2017-08-23;19.0;23.9;19.9;;21.9;25.1;16.1;30.0;18.1
2017-08-24;19.0;19.9;18.1;;19.9;19.9;17.0;23.0;19.0
2017-08-25;14.1;21.9;17.0;;19.0;14.1;14.1;29.1;17.0
2017-08-26;18.1;21.0;18.1;;23.0;17.0;19.0;27.1;17.0
2017-08-27;;18.1;19.9;;21.0;12.1;19.0;19.9;15.0
2017-08-28;15.0;23.9;16.1;;23.0;13.0;32.0;21.9;16.1
2017-08-29;12.1;25.1;17.0;;19.0;21.0;17.0;21.0;19.0
2017-08-30;14.1;23.0;19.0;;19.0;19.0;14.1;31.1;17.0
2017-08-31;14.1;18.1;34.0;;21.0;14.1;15.0;30.0;16.1
2017-09-01;16.1;16.1;21.9;;19.9;21.0;18.1;27.1;19.0
2017-09-02;19.9;18.1;21.0;;19.0;14.1;17.0;31.1;19.0
2017-09-03;23.0;21.0;21.0;32.0;21.9;14.1;21.9;29.1;23.9
2017-09-04;16.1;19.9;21.0;;19.9;29.1;16.1;30.0;28.0
2017-09-05;23.0;21.9;14.1;;23.0;16.1;21.0;34.0;21.9
2017-09-06;19.9;23.9;19.0;;30.0;21.9;23.0;32.0;19.9
2017-09-07;15.0;21.0;23.9;27.1;30.0;19.9;19.9;32.0;23.0
2017-09-08;16.1;23.0;18.1;;19.9;15.0;18.1;21.9;25.1
2017-09-09;;19.9;18.1;;23.0;14.1;19.9;28.0;21.0
2017-09-10;30.0;16.1;18.1;;25.1;16.1;18.1;21.9;17.0
2017-09-11;25.9;23.9;21.0;;25.1;23.9;19.0;23.9;40.9
2017-09-12;;29.1;;;25.1;19.9;21.9;21.9;23.9
2017-09-13;21.0;23.9;19.0;;23.9;25.1;21.0;18.1;19.0
2017-09-14;25.1;27.1;18.1;19.9;23.0;23.9;21.9;23.0;23.9
2017-09-15;21.0;23.9;16.1;;21.9;16.1;19.0;19.0;21.9
2017-09-16;16.1;23.9;17.0;19.0;21.9;14.1;19.0;25.1;19.0
2017-09-17;;23.0;18.1;;21.0;16.1;21.9;30.0;23.9
2017-09-18;18.1;33.1;17.0;;21.0;28.0;21.9;23.9;27.1
2017-09-19;13.0;23.9;21.9;;23.0;18.1;17.0;29.1;23.0
2017-09-20;16.1;28.0;19.9;;21.0;28.0;19.0;21.9;21.9
2017-09-21;36.0;30.0;23.0;32.0;28.0;23.9;23.0;23.0;29.1
2017-09-22;28.0;21.0;19.0;;25.1;16.1;19.9;38.0;21.9
2017-09-23;14.1;23.9;17.0;;23.0;27.1;18.1;28.0;25.1
2017-09-24;18.1;21.9;19.0;;21.9;21.9;23.0;31.1;21.0
2017-09-25;18.1;18.1;19.9;;21.9;19.0;19.9;30.0;21.9
2017-09-26;;21.0;21.9;13.0;19.0;25.1;14.1;32.0;25.1
2017-09-27;16.1;17.0;17.0;13.0;21.9;11.0;16.1;35.1;18.1
2017-09-28;16.1;27.1;23.0;;19.9;13.0;21.0;28.0;19.9
2017-09-29;15.0;25.9;17.0;18.1;21.0;21.0;15.0;42.9;19.9
2017-09-30;14.1;21.0;21.9;23.0;21.9;17.0;17.0;23.9;21.9
2017-10-01;14.1;23.9;17.0;23.0;21.0;38.9;19.9;33.1;23.9
2017-10-02;17.0;23.0;18.1;14.1;23.0;35.1;16.1;30.0;23.0
2017-10-03;13.0;21.9;23.0;21.9;23.9;25.9;18.1;25.9;27.1
2017-10-04;14.1;16.1;21.9;17.0;23.9;12.1;21.9;23.9;19.9
2017-10-05;14.1;19.0;16.1;16.1;18.1;19.9;18.1;21.0;23.9
2017-10-06;;16.1;13.0;12.1;25.1;18.1;17.0;36.0;21.0
2017-10-07;13.0;18.1;17.0;12.1;18.1;13.0;15.0;36.9;21.0
2017-10-08;15.0;25.9;18.1;21.0;21.9;46.1;21.9;30.0;23.9
2017-10-09;27.1;38.9;17.0;15.0;19.0;32.0;18.1;36.9;18.1
2017-10-10;19.0;19.0;16.1;8.9;21.9;10.1;21.0;33.1;21.9
2017-10-11;14.1;19.0;17.0;25.9;18.1;30.0;19.0;30.0;23.0
2017-10-12;19.9;21.0;21.0;13.0;23.9;29.1;17.0;28.0;19.9
2017-10-13;14.1;19.9;15.0;11.0;19.0;18.1;16.1;23.0;21.9
2017-10-14;;23.0;13.0;10.1;19.0;36.9;14.1;25.9;21.9
2017-10-15;14.1;14.1;13.0;11.0;18.1;12.1;13.0;36.0;13.0
